"Sub-Sector","Super Region","Energy Product","Sector","Flow Breakdown","Time Level","Country","Unit of Measurement","Source","Super Region","Value","Date Value","Period Value"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12418.100","2018-01-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10696.530","2017-12-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12716.210","2017-11-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11169.260","2017-10-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12963.960","2017-09-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11712.060","2017-08-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11955.460","2017-07-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12725.210","2017-06-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12842.170","2017-05-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12380.870","2017-04-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12825.250","2017-03-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11737.770","2017-02-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11737.600","2017-01-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11875.640","2016-12-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11396.910","2016-11-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10574.320","2016-10-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11601.600","2016-09-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12270.870","2016-08-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10849.560","2016-07-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11420.130","2016-06-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11674.700","2016-05-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12215.420","2016-04-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11913.900","2016-03-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10989.570","2016-02-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10989.710","2016-01-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","12044.790","2015-12-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11025.430","2015-11-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11126.150","2015-10-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11039.510","2015-09-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","10225.080","2015-08-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11030.880","2015-07-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","11210.790","2015-06-01","d"
"JODI OIL-WORLD DATABASE","GLOBAL DATA","TOTAL OIL PRODUCTS","ENERGY, OIL & GAS","DEMAND","MONTHLY","CHINA","THOUSAND BARRELS PER DAY(KB-D)","JOINT ORGANISATIONS DATA INITIATIVE - JODI","GLOBAL DATA","9452.720","2015-05-01","d"
