"Sub-Sector","Super Region","Sector","Measure","Frequency","Region","Source","Indicator","Subject","Super Region","Value","Date Value","Period Value"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.010","2015-06-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.010","2015-05-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.030","2015-03-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.050","2015-02-28","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.060","2015-01-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.080","2014-12-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.080","2014-11-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.080","2014-10-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.100","2014-09-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.190","2014-08-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.210","2014-07-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.240","2014-06-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.320","2014-05-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.330","2014-04-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.310","2014-03-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.290","2014-02-28","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.290","2014-01-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.270","2013-12-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.220","2013-11-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.230","2013-10-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.220","2013-09-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.230","2013-08-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.220","2013-07-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.210","2013-06-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.200","2013-05-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.210","2013-04-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.210","2013-03-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.220","2013-02-28","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.200","2013-01-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.190","2012-12-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.190","2012-11-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.210","2012-10-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.250","2012-09-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.330","2012-08-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","0.500","2012-07-31","d"
